,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,butaritari,100,KI,1580404097,79,3.07,172.79,84.24,12.77
1,jamestown,1,US,1580404099,62,42.1,-79.24,30.99,5.82
2,kiruna,90,SE,1580404630,92,67.86,20.23,14,0.45
3,meulaboh,100,ID,1580404117,66,4.14,96.13,82,4.9
4,albany,1,US,1580403940,62,42.6,-73.97,30.99,1.7
5,batagay,100,RU,1580404112,96,67.63,134.63,-7.87,2.73
7,ushuaia,75,AR,1580404098,76,-54.8,-68.3,50,35.57
8,punta arenas,61,CL,1580404101,54,-53.15,-70.92,55.4,53.02
9,pevek,100,RU,1580404130,98,69.7,170.31,-16.69,0.72
11,dikson,100,RU,1580404097,94,73.51,80.55,4.62,13.18
12,barrow,40,US,1580404104,74,71.29,-156.79,-25.6,8.05
13,kodiak,90,US,1580404100,78,57.79,-152.41,14,3.36
14,zhangye,0,CN,1580404126,35,38.93,100.45,22.01,1.41
15,yellowknife,90,CA,1580403886,84,62.46,-114.35,1,6.93
17,kaitangata,29,NZ,1580404104,54,-46.28,169.85,57,23
18,oum hadjer,26,TD,1580404631,9,13.3,19.7,71.69,9.48
19,atuona,0,PF,1580404103,73,-9.8,-139.03,81.09,10.56
20,dongsheng,0,CN,1580404631,56,39.82,109.98,18.66,7.99
21,narsaq,75,GL,1580404123,51,60.92,-46.05,12.2,3.36
22,east london,75,ZA,1580404101,83,-33.02,27.91,69.8,14.99
23,rikitea,100,PF,1580404099,75,-23.12,-134.97,79.59,13.87
24,qaqortoq,75,GL,1580404632,51,60.72,-46.03,12.2,5.82
25,vidalia,40,US,1580404632,58,32.22,-82.41,57.99,9.17
26,dunedin,17,NZ,1580404109,61,-45.87,170.5,57,23
27,hilo,90,US,1580404104,77,19.73,-155.09,69.8,4.7
28,padang,100,ID,1580404116,82,-0.95,100.35,68.61,3.18
29,san quintin,0,MX,1580404633,35,30.48,-115.95,65.28,1.74
30,pennadam,0,IN,1580404633,82,11.4,79.23,71.31,3.38
31,bluff,65,NZ,1580404103,75,-46.6,168.33,55,18.99
33,vaini,75,TO,1580404101,94,-21.2,-175.2,78.8,5.82
34,san cristobal,40,VE,1580404055,69,7.77,-72.22,82.4,8.05
35,bambous virieux,40,MU,1580404108,78,-20.34,57.76,78.8,6.93
37,saskylakh,100,RU,1580404107,98,71.92,114.08,-18.27,8.43
38,marawi,43,PH,1580404128,87,8,124.29,73.99,4
